Tree Number,Survey date,Location,Rep,Plot,Subplot,Treat,Tree cover (%),Cover,Tree #,Year planted,Genotype,Staple flag,Plastic marker,Staple paint,Species,Basal diam (mm),Height (cm),Crown diameter1 (cm),Crown diameter2 (cm) ,Avg crown diam (cm),Condition,Damage & notes,,,,
10594,2021-JUL-27,Narrows,1,1,78,clearcut,0,open,1,2020,Jaffray B class Fd,blue,,,Fd,5.5,25.5,16,14,15,M,drought,,,,
10595,2021-JUL-27,Narrows,1,1,78,clearcut,0,open,6,2020,Jaffray B class Fd,blue ,,,Fd,7.7,30,17,20,18.5,G,frost,,,,
10596,2021-JUL-27,Narrows,1,1,78,clearcut,0,open,3,2020,Peterhope B class Fd,pink,,,Fd,5.8,23,22,13,17.5,G,"frost, planting quality",,,,
10597,2021-JUL-27,Narrows,1,1,78,clearcut,0,open,2,2020,Lodgepole pine,blue & green,,,Pl,8.7,41,22,29,25.5,G,,,,,
10598,2021-JUL-27,Narrows,1,1,78,clearcut,0,open,5,2020,Ponderosa pine,pink & green,,,Py,8.3,35,20,17,18.5,M,"drought, planting quality",,,,
10599,2021-JUL-27,Narrows,1,1,78,clearcut,0,open,4,2020,Redfish B class Fd,white & blue stripe,,,Fd,5.9,31,19,16,17.5,G,frost,,,,
10600,2021-JUL-27,Narrows,1,1,78,clearcut,0,open,7,2020,Redfish B class Fd,white & blue stripe,,,Fd,6.9,31,15,18,16.5,G,"drought, veg",,,,
10601,2021-JUL-21,Narrows,1,2,1,seed,0,open,5,2020,Jaffray B class Fd,blue,,,Fd,7.3,32,16,19,17.5,G,,,,,
10602,2021-JUL-21,Narrows,1,2,1,seed,0,open,1,2020,John Prince B class Fd,pink polka,,,Fd,6.3,25,19,16,17.5,G,veg cometition,,,,
10603,2021-JUL-21,Narrows,1,2,1,seed,0,open,2,2020,Peterhope B class Fd,pink,,,Fd,5.6,35.5,19,30,24.5,G,,,,,
10604,2021-JUL-21,Narrows,1,2,1,seed,0,open,4,2020,Peterhope future Fd,white & red stripe,,,Fd,9.5,14.5,25,20,22.5,G,"veg, aphids",,,,
10605,2021-JUL-21,Narrows,1,2,1,seed,0,open,3,2020,Ponderosa pine,pink & green,,,Py,7.1,32,13,11,12,G,,,,,
10606,2021-JUL-21,Narrows,1,2,2,seed,0,open,2,2020,Jaffray B class Fd,blue,,,Fd,5.7,24,15,13,14,G,,,,,
10607,2021-JUL-21,Narrows,1,2,2,seed,0,open,1,2020,Redfish B class Fd,white & blue stripe,,,Fd,6.5,29,15,13,14,G,veg,,,,
10608,2021-JUL-21,Narrows,1,2,3,seed,0,open,6,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,5.5,31.5,15,14,14.5,G,aphids,,,,
10609,2021-JUL-21,Narrows,1,2,3,seed,0,open,2,2020,John Prince B class Fd,pink polka,,,Fd,7,29.5,14,17,15.5,G,"frost, veg",,,,
10610,2021-JUL-21,Narrows,1,2,3,seed,0,open,3,2020,Larch,green,,,Lw,7.6,51,22,24,23,G,drought,,,,
10611,2021-JUL-21,Narrows,1,2,3,seed,0,open,4,2020,Lodgepole pine,blue & green,,,Pl,13,56.5,39,34,36.5,G,,,,,
10612,2021-JUL-21,Narrows,1,2,3,seed,0,open,1,2020,Redfish B class Fd,white & blue stripe,,,Fd,7.4,31,22,18,20,G,,,,,
10613,2021-JUL-21,Narrows,1,2,3,seed,0,open,5,2020,Redfish B class Fd,white & blue stripe,,,Fd,7,21,17,16,16.5,G,drought,,,,
10614,2021-JUL-21,Narrows,1,2,4,seed,0,open,3,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,6.9,20.5,19,17,18,G,,,,,
10615,2021-JUL-21,Narrows,1,2,4,seed,0,open,5,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,5.6,21,18,19,18.5,G,,,,,
10616,2021-JUL-21,Narrows,1,2,4,seed,0,open,4,2020,Jaffray B class Fd,blue,,,Fd,6.1,15,9,9,9,G,"browsed top, new leader",,,,
10617,2021-JUL-21,Narrows,1,2,4,seed,0,open,1,2020,Peterhope B class Fd,pink,,,Fd,3.4,20.5,16,1,8.5,G,veg,,,,
10618,2021-JUL-21,Narrows,1,2,4,seed,0,open,2,2020,Larch,green,,,Lw,,,,,,D,,,,,
10619,2021-JUL-21,Narrows,1,2,5,seed,0,open,3,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,3.8,17,11,12,11.5,G,"drought, browsed top, veg",,,,
10620,2021-JUL-21,Narrows,1,2,5,seed,0,open,2,2020,John Prince B class Fd,pink polka,,,Fd,4.6,12,17,13,15,M,"browsed top, frost",,,,
10621,2021-JUL-21,Narrows,1,2,5,seed,0,open,4,2020,John Prince B class Fd,pink polka,,,Fd,4.8,21,10,9,9.5,G,"drought, browsed top",,,,
10622,2021-JUL-21,Narrows,1,2,5,seed,0,open,1,2020,Lodgepole pine,blue & green,,,Pl,8.9,51,26,24,25,G,,,,,
10623,2021-JUL-21,Narrows,1,2,6,seed,0,open,3,2020,John Prince B class Fd,pink polka,,,Fd,4.2,28,16,13,14.5,G,,,,,
10624,2021-JUL-21,Narrows,1,2,6,seed,0,open,2,2020,Peterhope B class Fd,pink,,,Fd,5.1,33,19,20,19.5,G,planting quality,,,,
10625,2021-JUL-21,Narrows,1,2,6,seed,0,open,1,2020,Lodgepole pine,blue & green,,,Pl,5.1,23,20,13,16.5,G,"browsed top, frost",,,,
10626,2021-JUL-21,Narrows,1,2,6,seed,0,open,4,2020,Peterhope future Fd,white & red stripe,,,Fd,6.9,36,22,19,20.5,G,,,,,
10627,2021-JUL-21,Narrows,1,2,7,seed,0,open,1,2020,Jaffray B class Fd,blue,,,Fd,5.6,21,16,10,13,G,browsed top,,,,
10628,2021-JUL-21,Narrows,1,2,7,seed,0,open,2,2020,John Prince B class Fd,pink polka,,,Fd,7.8,36,23,22,22.5,G,,,,,
10629,2021-JUL-21,Narrows,1,2,7,seed,0,open,3,2020,Peterhope B class Fd,pink,,,Fd,5.5,19,16,12,14,G,,,,,
10630,2021-JUL-21,Narrows,1,2,7,seed,0,open,5,2020,Peterhope B class Fd,pink,,,Fd,5.3,19,15,14,14.5,G,"browsed top & lateral, veg",,,,
10631,2021-JUL-21,Narrows,1,2,7,seed,0,open,4,2020,Lodgepole pine,blue & green,,,Pl,4.4,48,30,29,29.5,G,,,,,
10632,2021-JUL-21,Narrows,1,2,8,seed,0,open,1,2020,John Prince B class Fd,pink polka,,,Fd,4.7,14,13,8,10.5,G,,,,,
10633,2021-JUL-21,Narrows,1,2,8,seed,0,open,2,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
10634,2021-JUL-21,Narrows,1,2,9,seed,5,partial,2,2020,John Prince B class Fd,pink polka,,,Fd,5.6,30,23,18,20.5,G,,,,,
10635,2021-JUL-21,Narrows,1,2,9,seed,5,partial,5,2020,John Prince B class Fd,pink polka,,,Fd,3.8,19,13,8,10.5,M,drought,,,,
10636,2021-JUL-21,Narrows,1,2,9,seed,5,partial,4,2020,Peterhope B class Fd,pink,,,Fd,6.2,24,24,18,21,G,veg,,,,
10637,2021-JUL-21,Narrows,1,2,9,seed,5,partial,1,2020,Ponderosa pine,pink & green,,,Py,8.2,40,29,23,26,G,,,,,
10638,2021-JUL-21,Narrows,1,2,9,seed,5,partial,3,2020,Redfish B class Fd,white & blue stripe,,,Fd,6.1,20,16,17,16.5,G,veg,,,,
10639,2021-JUL-21,Narrows,1,2,10,seed,0,open,4,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,7,17,15,20,17.5,G,,,,,
10640,2021-JUL-21,Narrows,1,2,10,seed,0,open,2,2020,Jaffray B class Fd,blue,,,Fd,4.8,21,14,15,14.5,G,"drought, frost",,,,
10641,2021-JUL-21,Narrows,1,2,10,seed,0,open,1,2020,John Prince B class Fd,pink polka,,,Fd,5.7,30,21,19,20,G,"drought, frost",,,,
10642,2021-JUL-21,Narrows,1,2,10,seed,0,open,3,2020,Lodgepole pine,blue & green,,,Pl,6.4,29,17,15,16,G,,,,,
10643,2021-JUL-21,Narrows,1,2,11,seed,0,open,2,2020,Jaffray B class Fd,blue,,,Fd,5.4,27,18,16,17,G,,,,,
10644,2021-JUL-21,Narrows,1,2,11,seed,0,open,3,2020,Lodgepole pine,blue & green,,,Pl,8.1,37,23,22,22.5,G,,,,,
10645,2021-JUL-21,Narrows,1,2,11,seed,0,open,1,2020,Redfish B class Fd,white & blue stripe,,,Fd,5.4,18,19,13,16,G,,,,,
10646,2021-JUL-21,Narrows,1,2,12,seed,0,open,1,2020,Jaffray B class Fd,blue,,,Fd,6.6,26,23,12,17.5,G,,,,,
10647,2021-JUL-21,Narrows,1,2,12,seed,0,open,2,2020,John Prince B class Fd,pink polka,,,Fd,4.8,19.5,16,12,14,G,,,,,
10648,2021-JUL-21,Narrows,1,2,12,seed,0,open,3,2020,Peterhope B class Fd,pink,,,Fd,5,25,22,14,18,G,,,,,
10649,2021-JUL-21,Narrows,1,2,13,seed,0,open,4,2020,Jaffray B class Fd,blue,,,Fd,4.4,18,8,9,8.5,G,,,,,
10650,2021-JUL-21,Narrows,1,2,13,seed,0,open,6,2020,Jaffray B class Fd,blue,,,Fd,5.6,26,20,17,18.5,G,veg,,,,
10651,2021-JUL-21,Narrows,1,2,13,seed,0,open,3,2020,John Prince B class Fd,pink polka,,,Fd,5.2,26,17,12,14.5,G,,,,,
10652,2021-JUL-21,Narrows,1,2,13,seed,0,open,7,2020,John Prince B class Fd,pink polka,,,Fd,8,33,23,9,16,G,,,,,
10653,2021-JUL-21,Narrows,1,2,13,seed,0,open,2,2020,Peterhope B class Fd,pink,,,Fd,7.8,28,20,23,21.5,G,"frost, veg",,,,
10654,2021-JUL-21,Narrows,1,2,13,seed,0,open,8,2020,Ponderosa pine,pink & green,,,Py,7.3,26,13,15,14,G,veg,,,,
10655,2021-JUL-21,Narrows,1,2,13,seed,0,open,1,2020,Redfish B class Fd,white & blue stripe,,,Fd,5.2,17,14,11,12.5,G,"frost, veg",,,,
10656,2021-JUL-21,Narrows,1,2,13,seed,0,open,5,2020,Redfish B class Fd,white & blue stripe,,,Fd,7.6,41.5,19,19,19,G,frost,,,,
10657,2021-JUL-21,Narrows,1,2,14,seed,0,open,4,2020,John Prince B class Fd,pink polka,,,Fd,6.3,24,13,16,14.5,G,,,,,
10658,2021-JUL-21,Narrows,1,2,14,seed,0,open,2,2020,Larch,green,,,Lw,9.5,52,34,28,31,G,,,,,
10659,2021-JUL-21,Narrows,1,2,14,seed,0,open,5,2020,Lodgepole pine,blue & green,,,Pl,8.4,25,19,22,20.5,G,,,,,
10660,2021-JUL-21,Narrows,1,2,14,seed,0,open,1,2020,Peterhope future Fd,white & red stripe,,,Fd,8.4,22.5,30,23,26.5,G,aphids,,,,
10661,2021-JUL-21,Narrows,1,2,14,seed,0,open,3,2020,Ponderosa pine,pink & green,,,Py,9.8,38,17,20,18.5,G,,,,,
10662,2021-JUL-21,Narrows,1,2,14,seed,0,open,6,2020,Redfish B class Fd,white & blue stripe,,,Fd,6.1,24,22,17,19.5,G,,,,,
10663,2021-JUL-21,Narrows,1,2,15,seed,0,open,3,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,5.7,39,28,22,25,G,,,,,
10664,2021-JUL-21,Narrows,1,2,15,seed,0,open,7,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,7.2,31,27,27,27,G,"drought, frost",,,,
10665,2021-JUL-21,Narrows,1,2,15,seed,0,open,4,2020,Jaffray B class Fd,blue,,,Fd,5.5,26,20,19,19.5,G,drought,,,,
10666,2021-JUL-21,Narrows,1,2,15,seed,0,open,2,2020,John Prince B class Fd,pink polka,,,Fd,4.7,25,21,22,21.5,M,"browsed top, frost",,,,
10667,2021-JUL-21,Narrows,1,2,15,seed,0,open,6,2020,John Prince B class Fd,pink polka,,,Fd,6,23,17,19,18,G,drought,,,,
10668,2021-JUL-21,Narrows,1,2,15,seed,0,open,1,2020,Peterhope B class Fd,pink,,,Fd,4,25,17,7,12,M,drought,,,,
10669,2021-JUL-21,Narrows,1,2,15,seed,0,open,8,2020,Peterhope future Fd,white & red stripe,,,Fd,6.9,34,28,19,23.5,G,"drought,  veg",,,,
10670,2021-JUL-21,Narrows,1,2,15,seed,0,open,5,2020,Redfish B class Fd,white & blue stripe,,,Fd,5.4,23,16,13,14.5,G,"drought, slash",,,,
10671,2021-JUL-21,Narrows,1,2,16,seed,2,open,3,2020,John Prince B class Fd,pink polka,,,Fd,6.3,25,23,22,22.5,M,drought,,,,
10672,2021-JUL-21,Narrows,1,2,16,seed,2,open,1,2020,Lodgepole pine,blue & green,,,Pl,5.6,30,10,9,9.5,G,drought,,,,
10673,2021-JUL-21,Narrows,1,2,16,seed,2,open,2,2020,Redfish B class Fd,white & blue stripe,,,Fd,6.2,32,14,16,15,G,drought,,,,
10674,2021-JUL-21,Narrows,1,2,17,seed,0,open,1,2020,John Prince B class Fd,pink polka,,,Fd,6.4,18,18,19,18.5,G,poor microsite,,,,
10675,2021-JUL-21,Narrows,1,2,17,seed,0,open,4,2020,John Prince B class Fd,pink polka,,,Fd,8.2,35,33,33,33,G,insect cocoon,,,,
10676,2021-JUL-21,Narrows,1,2,17,seed,0,open,3,2020,Peterhope B class Fd,pink,,,Fd,4.4,13,16,12,14,G,drought,,,,
10677,2021-JUL-21,Narrows,1,2,17,seed,0,open,5,2020,Peterhope B class Fd,pink,,,Fd,4.6,23,17,11,14,G,browsed lateral,,,,
10678,2021-JUL-21,Narrows,1,2,17,seed,0,open,2,2020,Lodgepole pine,blue & green,,,Pl,5.2,22,14,8,11,G,drought,,,,
10679,2021-JUL-21,Narrows,1,2,18,seed,2,open,1,2020,Jaffray B class Fd,blue,,,Fd,7.3,26,23,22,22.5,G,,,,,
10680,2021-JUL-21,Narrows,1,2,19,seed,0,open,3,2020,Jaffray B class Fd,blue ,,,Fd,3.5,14,14,5,9.5,G,,,,,
10681,2021-JUL-21,Narrows,1,2,19,seed,0,open,2,2020,John Prince B class Fd,pink polka,,,Fd,3.5,19,9,9,9,G,,,,,
10682,2021-JUL-21,Narrows,1,2,19,seed,0,open,6,2020,John Prince B class Fd,pink polka,,,Fd,6.2,29,20,15,17.5,G,veg,,,,
10683,2021-JUL-21,Narrows,1,2,19,seed,0,open,5,2020,Peterhope B class Fd,pink,,,Fd,5.9,33,15,20,17.5,G,drought,,,,
10684,2021-JUL-21,Narrows,1,2,19,seed,0,open,4,2020,Lodgepole pine,blue & green,,,Pl,5.1,34,12,13,12.5,G,frost,,,,
10685,2021-JUL-21,Narrows,1,2,19,seed,0,open,1,2020,Redfish B class Fd,white & blue stripe,,,Fd,9.5,39,21,22,21.5,G,,,,,
10686,2021-JUL-21,Narrows,1,2,20,seed,0,open,2,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,5.2,22,19,15,17,G,"drought, frost",,,,
10687,2021-JUL-21,Narrows,1,2,20,seed,0,open,1,2020,Peterhope B class Fd,pink,,,Fd,3.5,19,9,8,8.5,G,,,,,
10688,2021-JUL-21,Narrows,1,2,20,seed,0,open,3,2020,Ponderosa pine,pink & green,,,Py,4.4,17,12,12,12,M,drought,,,,
10689,2021-JUL-21,Narrows,1,2,21,seed,0,open,1,2020,Larch,green,,,Lw,6.4,46,23,18,20.5,G,,,,,
10690,2021-JUL-21,Narrows,1,2,22,seed,0,open,2,2020,Jaffray B class Fd,blue,,,Fd,3.6,20,13,8,10.5,G,veg,,,,
10691,2021-JUL-21,Narrows,1,2,22,seed,0,open,1,2020,John Prince B class Fd,pink polka,,,Fd,3.4,5,3,2,2.5,P,"browsed top,  veg",,,,
10692,2021-JUL-21,Narrows,1,2,22,seed,0,open,3,2020,Peterhope B class Fd,pink,,,Fd,6.9,20,11,12,11.5,G,,,,,
10693,2021-JUL-21,Narrows,1,2,22,seed,0,open,4,2020,Lodgepole pine,blue & green,,,Pl,6.3,37,20,15,17.5,G,veg,,,,
10694,2021-JUL-21,Narrows,1,2,23,seed,10,partial,2,2020,Jaffray B class Fd,blue,,,Fd,5.6,23,12,11,11.5,G,,,,,
10695,2021-JUL-21,Narrows,1,2,23,seed,10,partial,4,2020,Jaffray B class Fd,blue,,,Fd,3.1,18,13,8,10.5,G,snowpress,,,,
10696,2021-JUL-21,Narrows,1,2,23,seed,10,partial,3,2020,John Prince B class Fd,pink polka,,,Fd,6.2,28,20,15,17.5,M,"frost, drought",,,,
10697,2021-JUL-21,Narrows,1,2,23,seed,10,partial,1,2020,Lodgepole pine,blue & green,,,Pl,9,40,26,20,23,G,,,,,
10698,2021-JUL-21,Narrows,1,2,23,seed,10,partial,5,2020,Redfish B class Fd,white & blue stripe,,,Fd,5.9,32,15,19,17,G,,,,,
10699,2021-JUL-21,Narrows,1,2,24,seed,0,open,2,2020,Peterhope B class Fd,pink,,,Fd,5.5,20,23,15,19,G,,,,,
10700,2021-JUL-21,Narrows,1,2,24,seed,0,open,1,2020,Peterhope future Fd,white & red stripe,,,Fd,7.2,36,19,17,18,G,frost,,,,
10701,2021-JUL-21,Narrows,1,2,24,seed,0,open,3,2020,Ponderosa pine,pink & green,,,Py,7.1,20,14,20,17,G,browsed top,,,,
10702,2021-JUL-21,Narrows,1,2,25,seed,0,open,2,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,11.8,50.5,24,27,25.5,G,,,,,
10703,2021-JUL-21,Narrows,1,2,25,seed,0,open,8,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,4.8,26.5,17,13,15,G,veg,,,,
10704,2021-JUL-21,Narrows,1,2,25,seed,0,open,1,2020,Jaffray B class Fd,blue,,,Fd,7.3,33,23,17,20,G,,,,,
10705,2021-JUL-21,Narrows,1,2,25,seed,0,open,7,2020,Jaffray B class Fd,blue,,,Fd,8.5,30,19,22,20.5,G,,,,,
10706,2021-JUL-21,Narrows,1,2,25,seed,0,open,9,2020,John Prince B class Fd,pink polka,,,Fd,11.4,37.5,29,33,31,G,,,,,
10707,2021-JUL-21,Narrows,1,2,25,seed,0,open,5,2020,Peterhope B class Fd,pink,,,Fd,9.4,36,28,25,26.5,G,,,,,
10708,2021-JUL-21,Narrows,1,2,25,seed,0,open,3,2020,Larch,green,,,Lw,15.7,108,65,60,62.5,G,,,,,
10709,2021-JUL-21,Narrows,1,2,25,seed,0,open,6,2020,Ponderosa pine,pink & green,,,Py,7.1,29.5,16,14,15,G,,,,,
10710,2021-JUL-21,Narrows,1,2,25,seed,0,open,10,2020,Ponderosa pine,pink & green,,,Py,10.9,36,24,16,20,G,,,,,
10711,2021-JUL-21,Narrows,1,2,25,seed,0,open,4,2020,Redfish B class Fd,white & blue stripe,,,Fd,9.3,32.5,18,19,18.5,G,,,,,
10712,2021-JUL-21,Narrows,1,2,26,seed,0,open,2,2020,Jaffray B class Fd,blue,,,Fd,12.3,51,19,19,19,G,,,,,
10713,2021-JUL-21,Narrows,1,2,26,seed,0,open,3,2020,John Prince B class Fd,pink polka,,,Fd,5.9,20.5,15,12,13.5,G,,,,,
10714,2021-JUL-21,Narrows,1,2,26,seed,0,open,1,2020,Ponderosa pine,pink & green,,,Py,6.3,23,15,11,13,G,,,,,
10715,2021-JUL-21,Narrows,1,2,27,seed,0,open,4,2020,Jaffray B class Fd,blue,,,Fd,7.6,30.5,18,20,19,G,aphids,,,,
10716,2021-JUL-21,Narrows,1,2,27,seed,0,open,6,2020,John Prince B class Fd,pink polka,,,Fd,,,,,,D,drought,,,,
10717,2021-JUL-21,Narrows,1,2,27,seed,0,open,1,2020,Lodgepole pine,blue & green,,,Pl,7,24.5,17,21,19,G,,,,,
10718,2021-JUL-21,Narrows,1,2,27,seed,0,open,3,2020,Peterhope future Fd,white & red stripe,,,Fd,6.6,43,20,15,17.5,G,veg,,,,
10719,2021-JUL-21,Narrows,1,2,27,seed,0,open,2,2020,Redfish B class Fd,white & blue stripe,,,Fd,4.4,27.5,16,13,14.5,G,,,,,
10720,2021-JUL-21,Narrows,1,2,27,seed,0,open,5,2020,Redfish B class Fd,white & blue stripe,,,Fd,6.6,32,14,17,15.5,G,,,,,
10721,2021-JUL-21,Narrows,1,2,28,seed,0,open,1,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,7,21.5,17,14,15.5,G,,,,,
10722,2021-JUL-21,Narrows,1,2,28,seed,0,open,4,2020,John Prince B class Fd,pink polka,,,Fd,5.4,25.5,15,11,13,G,veg,,,,
10723,2021-JUL-21,Narrows,1,2,28,seed,0,open,3,2020,Peterhope B class Fd,pink,,,Fd,8.6,27,18,13,15.5,G,,,,,
10724,2021-JUL-21,Narrows,1,2,28,seed,0,open,2,2020,Redfish B class Fd,white & blue stripe,,,Fd,7.4,30.5,23,18,20.5,G,veg,,,,
10725,2021-JUL-21,Narrows,1,2,29,seed,0,open,1,2020,John Prince B class Fd,pink polka,,,Fd,6.1,23,20,12,16,M,"dead top, new leader",,,,
10726,2021-JUL-21,Narrows,1,2,29,seed,0,open,3,2020,John Prince B class Fd,pink polka,,,Fd,6.8,20,15,10,12.5,G,frost,,,,
10727,2021-JUL-21,Narrows,1,2,29,seed,0,open,2,2020,Ponderosa pine,pink & green,,,Py,7.4,28,13,12,12.5,M,,,,,
10728,2021-JUL-21,Narrows,1,2,30,seed,0,open,1,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,5.7,16,18,17,17.5,G,,,,,
10729,2021-JUL-21,Narrows,1,2,30,seed,0,open,2,2020,Jaffray B class Fd,blue,,,Fd,4.3,14.5,15,11,13,G,,,,,
10730,2021-JUL-21,Narrows,1,2,30,seed,0,open,4,2020,John Prince B class Fd,pink polka,,,Fd,6.2,22.5,17,16,16.5,G,aphids,,,,
10731,2021-JUL-21,Narrows,1,2,30,seed,0,open,3,2020,Peterhope B class Fd,pink,,,Fd,7,37.5,22,18,20,G,aphids,,,,
10732,2021-JUL-21,Narrows,1,2,31,seed,0,open,1,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,4.8,29,16,14,15,G,frost,,,,
10733,2021-JUL-21,Narrows,1,2,31,seed,0,open,2,2020,Lodgepole pine,blue & green,,,Pl,7.3,68,30,20,25,G,,,,,
10734,2021-JUL-21,Narrows,1,2,32,seed,0,open,3,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,4.3,27,21,17,19,G,frost,,,,
10735,2021-JUL-21,Narrows,1,2,32,seed,0,open,4,2020,Jaffray B class Fd,blue,,,Fd,4.3,24,23,10,16.5,G,,,,,
10736,2021-JUL-21,Narrows,1,2,32,seed,0,open,6,2020,John Prince B class Fd,pink polka,,,Fd,4.6,16,13,11,12,G,,,,,
10737,2021-JUL-21,Narrows,1,2,32,seed,0,open,5,2020,Larch,green,,,Lw,4.3,31,18,20,19,G,,,,,
10738,2021-JUL-21,Narrows,1,2,32,seed,0,open,1,2020,Lodgepole pine,blue & green,,,Pl,7.7,28,22,27,24.5,G,,,,,
10739,2021-JUL-21,Narrows,1,2,32,seed,0,open,2,2020,Peterhope future Fd,white & red stripe,,,Fd,7,41,23,20,21.5,G,,,,,
10740,2021-JUL-21,Narrows,1,2,33,seed,30,partial,3,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,5.1,27,25,22,23.5,G,,,,,
10741,2021-JUL-21,Narrows,1,2,33,seed,30,partial,4,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,3.8,23,14,10,12,G,,,,,
10742,2021-JUL-21,Narrows,1,2,33,seed,30,partial,1,2020,Lodgepole pine,blue & green,,,Pl,4.8,36,17,10,13.5,G,drought,,,,
10743,2021-JUL-21,Narrows,1,2,33,seed,30,partial,2,2020,Redfish B class Fd,white & blue stripe,,,Fd,3.4,14,15,10,12.5,G,"drought, browsed top",,,,
10744,2021-JUL-21,Narrows,1,2,34,seed,5,partial,5,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,6.8,41,23,12,17.5,G,,,,,
10745,2021-JUL-21,Narrows,1,2,34,seed,5,partial,2,2020,Jaffray B class Fd,blue,,,Fd,3.7,20,22,11,16.5,M,"drought, frost",,,,
10746,2021-JUL-21,Narrows,1,2,34,seed,5,partial,1,2020,John Prince B class Fd,pink polka,,,Fd,5.8,27,23,22,22.5,G,,,,,
10747,2021-JUL-21,Narrows,1,2,34,seed,5,partial,3,2020,Peterhope B class Fd,pink,,,Fd,3,15,11,19,15,M,"drought, veg",,,,
10748,2021-JUL-21,Narrows,1,2,34,seed,5,partial,4,2020,Larch,green,,,Lw,4.3,42,5,3,4,G,,,,,
10749,2021-JUL-21,Narrows,1,2,35,seed,0,open,3,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,4.9,37,19,17,18,G,veg,,,,
10750,2021-JUL-21,Narrows,1,2,35,seed,0,open,1,2020,John Prince B class Fd,pink polka,,,Fd,5.6,31,19,20,19.5,G,,,,,
10751,2021-JUL-21,Narrows,1,2,35,seed,0,open,2,2020,Redfish B class Fd,white & blue stripe,,,Fd,5.6,28,19,15,17,G,,,,,
10752,2021-JUL-21,Narrows,1,2,36,seed,15,partial,2,2020,Jaffray B class Fd,blue,,,Fd,4.1,18,15,12,13.5,G,,,,,
10753,2021-JUL-21,Narrows,1,2,36,seed,15,partial,1,2020,John Prince B class Fd,pink polka,,,Fd,4.9,27,15,11,13,G,,,,,
10754,2021-JUL-21,Narrows,1,2,36,seed,15,partial,3,2020,Ponderosa pine,pink & green,,,Py,5.6,28,16,17,16.5,G,,,,,
10755,2021-JUL-21,Narrows,1,2,37,seed,0,open,8,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,7.6,26,17,20,18.5,G,,,,,
10756,2021-JUL-21,Narrows,1,2,37,seed,0,open,5,2020,Jaffray B class Fd,blue,,,Fd,5.1,23,12,13,12.5,G,,,,,
10757,2021-JUL-21,Narrows,1,2,37,seed,0,open,2,2020,John Prince B class Fd,pink polka,,,Fd,9,30,17,18,17.5,G,drought,,,,
10758,2021-JUL-21,Narrows,1,2,37,seed,0,open,1,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
10759,2021-JUL-21,Narrows,1,2,37,seed,0,open,6,2020,Peterhope B class Fd,pink,,,Fd,6.1,31,17,13,15,G,"veg, planting quality",,,,
10760,2021-JUL-21,Narrows,1,2,37,seed,0,open,3,2020,Lodgepole pine,blue & green,,,Pl,7.9,38,10,4,7,G,,,,,
10761,2021-JUL-21,Narrows,1,2,37,seed,0,open,4,2020,Ponderosa pine,pink & green,,,Py,5.8,24,10,8,9,G,drought,,,,
10762,2021-JUL-21,Narrows,1,2,37,seed,0,open,9,2020,Ponderosa pine,pink & green,,,Py,6.2,30,7,4,5.5,G,,,,,
10763,2021-JUL-21,Narrows,1,2,37,seed,0,open,7,2020,Redfish B class Fd,white & blue stripe,,,Fd,4.4,15,8,9,8.5,P,planting quality,,,,
10764,2021-JUL-21,Narrows,1,2,37,seed,0,open,10,2020,Redfish B class Fd,white & blue stripe,,,Fd,5.2,18,16,12,14,G,browsed top,,,,
10765,2021-JUL-21,Narrows,1,2,38,seed,0,open,1,2020,Jaffray B class Fd,blue,,,Fd,5.6,28,14,9,11.5,G,frost,,,,
10766,2021-JUL-21,Narrows,1,2,38,seed,0,open,2,2020,John Prince B class Fd,pink polka,,,Fd,6.9,26,12,14,13,G,veg,,,,
10767,2021-JUL-21,Narrows,1,2,38,seed,0,open,3,2020,Redfish B class Fd,white & blue stripe,,,Fd,7.5,31,21,18,19.5,G,drought,,,,
10768,2021-JUL-21,Narrows,1,2,39,seed,0,open,5,2020,Jaffray B class Fd,blue,,,Fd,6.1,29,19,14,16.5,G,,,,,
10769,2021-JUL-21,Narrows,1,2,39,seed,0,open,4,2020,Peterhope B class Fd,pink,,,Fd,6.1,29,17,13,15,G,,,,,
