Tree Number,Survey date,Location,Rep,Plot,Subplot,Treat,Tree cover (%),Cover,Tree #,Year planted,Genotype,Staple flag,Plastic marker,Staple paint,Species,Basal diam (mm),Height (cm),Crown diameter1 (cm),Crown diameter2 (cm) ,Avg crown diam (cm),Condition,Damage & notes,,,,
71,2021-AUG-08,Alex Fraser,1,ICH1,4A,30Ret,20,partial,3,2020,Venables future Fd,pink & orange,,,Fd,3.6,26,15,24,19.5,G,,,,,
72,2021-AUG-08,Alex Fraser,1,ICH1,4B,30Ret,35,under canopy,4,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,,,,,,D,,,,,
73,2021-AUG-08,Alex Fraser,1,ICH1,4B,30Ret,35,under canopy,2,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
74,2021-AUG-08,Alex Fraser,1,ICH1,4B,30Ret,35,under canopy,5,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
75,2021-AUG-08,Alex Fraser,1,ICH1,4B,30Ret,35,under canopy,1,2020,Ponderosa pine,pink & green,,,Py,,,,,,D,,,,,
76,2021-AUG-08,Alex Fraser,1,ICH1,4B,30Ret,35,under canopy,3,2020,Ponderosa pine,pink & green,,,Py,,,,,,D,,,,,
77,2021-AUG-08,Alex Fraser,1,ICH1,4C,30Ret,15,partial,2,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,,,,,,D,,,,,
78,2021-AUG-08,Alex Fraser,1,ICH1,4C,30Ret,15,partial,1,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
79,2021-AUG-08,Alex Fraser,1,ICH1,4C,30Ret,15,partial,4,2020,John Prince B class Fd,pink polka,,,Fd,,,,,,D,,,,,
80,2021-AUG-08,Alex Fraser,1,ICH1,4C,30Ret,15,partial,3,2020,Peterhope B class Fd,pink,,,Fd,3.5,13.5,9,7,8,M,,,,,
81,2021-AUG-08,Alex Fraser,1,ICH1,4C,30Ret,15,partial,5,2020,Ponderosa pine,pink & green,,,Py,4.4,12,8,7,7.5,M,,,,,
82,2021-AUG-08,Alex Fraser,1,ICH1,4D,30Ret,70,partial,2,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
83,2021-AUG-08,Alex Fraser,1,ICH1,4D,30Ret,70,partial,1,2020,John Prince B class Fd,pink polka,,,Fd,2.8,15,8,8,8,N,"drought, browsed top, frost",,,,
84,2021-AUG-08,Alex Fraser,1,ICH1,4D,30Ret,70,partial,3,2020,Larch,green,,,Lw,,,,,,D,,,,,
85,2021-AUG-08,Alex Fraser,1,ICH1,4E,30Ret,0,open,1,2020,Alex Fraser A class Fd,blue & orange,,,Fd,,,,,,D,,,,,
86,2021-AUG-08,Alex Fraser,1,ICH1,4E,30Ret,0,open,2,2020,Venables future Fd,pink & orange,,,Fd,4.6,19,12,10,11,M,"drought, frost, browsed top",,,,
87,2021-AUG-08,Alex Fraser,1,ICH1,4E,30Ret,0,open,3,2020,Venables future Fd,pink & orange,,,Fd,3.3,18,10,11,10.5,G,,,,,
88,2021-AUG-08,Alex Fraser,1,ICH1,4F,30Ret,0,open,2,2020,Alex Fraser A class Fd,blue & orange ,,,Fd,,,,,,D,,,,,
89,2021-AUG-08,Alex Fraser,1,ICH1,4F,30Ret,0,open,4,2020,Peterhope B class Fd,pink,,,Fd,3.6,20,12,13,12.5,G,frost,,,,
90,2021-AUG-08,Alex Fraser,1,ICH1,4F,30Ret,0,open,1,2020,Lodgepole pine,blue & green,,,Pl,4,40.5,12,9,10.5,G,drought,,,,
91,2021-AUG-08,Alex Fraser,1,ICH1,4F,30Ret,0,open,3,2020,Lodgepole pine,blue & green,,,Pl,,,,,,D,,,,,
92,2021-AUG-08,Alex Fraser,1,ICH1,4G,30Ret,0,open,1,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
93,2021-AUG-08,Alex Fraser,1,ICH1,4G,30Ret,0,open,3,2020,Ponderosa pine,pink & green,,,Py,7.4,29,13,13,13,G,veg,,,,
94,2021-AUG-08,Alex Fraser,1,ICH1,4G,30Ret,0,open,2,2020,Redfish B class Fd,white & blue stripe,,,Fd,3.7,26.5,11,7,9,G,,,,,
95,2021-AUG-08,Alex Fraser,1,ICH1,4H,30Ret,20,partial,1,2020,Ponderosa pine,pink & green,,,Py,,,,,,D,,,,,
96,2021-AUG-08,Alex Fraser,1,ICH1,4H,30Ret,20,partial,2,2020,Venables future Fd,pink & orange,,,Fd,,,,,,D,,,,,
97,2021-AUG-08,Alex Fraser,1,ICH1,4I,30Ret,30,partial,1,2020,Venables B class Fd,white & red stripe,,,Fd,,,,,,D,,,,,
98,2021-AUG-08,Alex Fraser,1,ICH1,5A,30Ret,0,open,1,2020,Alex Fraser A class Fd,blue & orange,,,Fd,,,,,,D,,,,,
99,2021-AUG-08,Alex Fraser,1,ICH1,5A,30Ret,0,open,3,2020,Alex Fraser future Fd,pink & blue,,,Fd,,,,,,D,,,,,
100,2021-AUG-08,Alex Fraser,1,ICH1,5A,30Ret,0,open,4,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
101,2021-AUG-08,Alex Fraser,1,ICH1,5A,30Ret,0,open,2,2020,Venables B class Fd,white & red stripe,,,Fd,,,,,,D,,,,,
102,2021-AUG-08,Alex Fraser,1,ICH1,5B,30Ret,65,under canopy,5,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,2.4,8.5,3,2,2.5,P,"drought, browsed top & lateral",,,,
103,2021-AUG-08,Alex Fraser,1,ICH1,5B,30Ret,65,under canopy,1,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
104,2021-AUG-08,Alex Fraser,1,ICH1,5B,30Ret,65,under canopy,3,2020,Lodgepole pine,blue & green,,,Pl,4,27.5,5,5,5,P,"drought, browsed lateral",,,,
105,2021-AUG-08,Alex Fraser,1,ICH1,5B,30Ret,65,under canopy,4,2020,Ponderosa pine,pink & green,,,Py,,,,,,D,,,,,
106,2021-AUG-08,Alex Fraser,1,ICH1,5B,30Ret,65,under canopy,2,2020,Redfish B class Fd,white & blue stripe,,,Fd,,,,,,D,,,,,
107,2021-AUG-08,Alex Fraser,1,ICH1,5C,30Ret,10,partial,2,2020,Alex Fraser A class Fd,blue & orange,,,Fd,,,,,,D,,,,,
